,Player,2022-23 Salary,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
309,James Wiseman,9603360,C,21,TOT,45,22,19.3,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,0.563,1.5,2.2,0.701,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10.0,15.6,0.589,0.059,0.286,9.2,25.2,17.0,5.5,0.4,2.7,11.8,21.2,0.7,0.7,1.4,0.077,-2.1,-1.4,-3.5,-0.3
318,Landry Shamet,9500000,SG,25,PHO,40,9,20.2,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,0.502,1.1,1.3,0.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7,10.9,0.537,0.663,0.17,1.5,7.9,4.6,15.7,1.6,0.6,10.0,18.9,0.5,0.7,1.2,0.071,-1.1,-0.3,-1.4,0.1
319,Malik Monk,9472219,SG,24,SAC,77,0,22.3,4.6,10.3,0.448,1.9,5.2,0.359,2.8,5.2,0.538,0.538,2.4,2.7,0.889,0.4,2.2,2.6,3.9,0.6,0.3,1.9,1.6,13.5,16.6,0.587,0.5,0.26,2.1,11.3,6.7,25.0,1.4,1.0,14.1,25.8,2.1,1.2,3.2,0.091,1.6,-1.4,0.3,1.0
320,Jalen Green,9441840,SG,20,HOU,76,76,34.2,7.4,17.9,0.416,2.5,7.3,0.338,5.0,10.6,0.471,0.485,4.8,6.1,0.786,0.6,3.2,3.7,3.7,0.8,0.2,2.6,1.7,22.1,14.5,0.538,0.408,0.341,1.8,10.3,6.0,17.3,1.1,0.7,11.3,28.1,1.4,0.5,1.8,0.034,0.5,-2.6,-2.1,0.0
321,Jakob Poeltl,9398148,C,27,TOT,72,71,26.5,5.4,8.6,0.629,0.0,0.0,0.0,5.4,8.6,0.63,0.629,1.7,2.8,0.592,3.3,5.8,9.1,2.7,0.9,1.2,1.7,2.7,12.5,21.0,0.635,0.002,0.325,13.0,25.5,19.0,15.2,1.7,4.0,15.0,18.2,3.7,2.2,6.0,0.15,1.1,0.8,1.9,1.9
339,Dario Saric,9240000,PF-C,28,TOT,57,12,14.1,2.2,4.9,0.458,0.8,2.0,0.391,1.4,2.8,0.506,0.54,1.1,1.3,0.829,0.9,2.7,3.6,1.3,0.4,0.1,1.0,1.7,6.4,13.5,0.583,0.415,0.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1.0,1.7,0.099,-1.5,0.1,-1.4,0.1
348,Royce O'Neale,9200000,SF,29,BRK,76,53,31.7,3.0,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.524,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.9,0.6,1.5,3.1,8.8,9.2,0.538,0.707,0.116,2.6,15.0,9.0,15.3,1.3,1.7,15.5,13.6,0.4,2.5,2.9,0.057,-1.7,0.6,-1.1,0.5
349,Monte Morris,9125000,PG,27,WAS,62,61,27.3,4.0,8.3,0.48,1.3,3.3,0.382,2.7,5.0,0.543,0.555,1.0,1.2,0.831,0.4,3.0,3.4,5.3,0.7,0.2,1.0,1.2,10.3,15.0,0.579,0.396,0.15,1.8,11.6,6.9,26.4,1.2,0.6,9.9,15.6,3.1,1.1,4.2,0.12,0.8,-0.4,0.5,1.1
359,Alex Caruso,9030000,PG,28,CHI,67,36,23.5,1.9,4.3,0.455,0.8,2.3,0.364,1.1,2.0,0.556,0.551,0.9,1.1,0.808,0.6,2.3,2.9,2.9,1.5,0.7,1.1,2.4,5.6,11.5,0.588,0.528,0.255,3.1,10.9,7.1,15.4,3.0,2.8,19.5,11.1,1.0,2.6,3.6,0.109,-2.2,3.3,1.1,1.2
360,Maxi Kleber,9000000,PF,31,DAL,37,5,25.1,2.1,4.6,0.456,1.1,3.0,0.348,1.0,1.5,0.667,0.571,0.7,1.0,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0.0,-2.2,0.0
361,Grayson Allen,8925000,SG,27,MIL,72,70,27.4,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.571,1.6,1.8,0.905,0.8,2.4,3.3,2.3,0.9,0.2,1.0,1.6,10.4,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,2.8,2.2,5.1,0.123,-0.6,0.7,0.1,1.0
362,Darius Garland,8920794,PG,23,CLE,69,69,35.5,7.6,16.4,0.462,2.4,6.0,0.41,5.1,10.4,0.492,0.537,4.0,4.7,0.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6,18.8,0.587,0.365,0.284,1.3,7.6,4.5,34.1,1.7,0.3,13.5,26.9,4.5,3.0,7.6,0.148,3.2,-0.7,2.4,2.7
363,Isaiah Hartenstein,8854879,C,24,NYK,82,8,19.8,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,0.547,0.6,0.9,0.676,2.5,4.0,6.5,1.2,0.6,0.8,0.8,2.6,5.0,14.2,0.567,0.113,0.217,14.1,22.2,18.1,8.3,1.6,3.7,15.6,11.2,2.2,2.4,4.6,0.136,-1.5,1.2,-0.3,0.7
367,Kyle Anderson,8780488,PF,29,MIN,69,46,28.4,3.7,7.2,0.509,0.6,1.5,0.41,3.0,5.7,0.536,0.553,1.4,2.0,0.735,1.0,4.4,5.3,4.9,1.1,0.9,1.5,2.1,9.4,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,2.5,2.6,5.1,0.125,0.2,2.3,2.5,2.2
368,Victor Oladipo,8750000,SG,30,MIA,42,2,26.3,3.8,9.6,0.397,1.7,5.0,0.33,2.1,4.5,0.471,0.484,1.4,1.9,0.747,0.4,2.7,3.0,3.5,1.4,0.3,2.1,2.4,10.7,10.6,0.513,0.526,0.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,0.024,-2.9,0.8,-2.1,0.0
370,LaMelo Ball,8623920,PG,21,CHO,36,36,35.2,8.2,20.0,0.411,4.0,10.6,0.376,4.2,9.4,0.45,0.51,2.8,3.4,0.836,1.2,5.3,6.4,8.4,1.3,0.3,3.6,3.3,23.3,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,0.6,1.2,1.8,0.068,3.2,-0.8,2.4,1.4
371,Seth Curry,8496653,SG,32,BRK,61,7,19.9,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.568,0.8,0.9,0.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2,12.3,0.593,0.517,0.122,1.2,7.9,4.6,11.9,1.5,0.5,9.7,19.2,0.9,0.9,1.8,0.07,-1.2,-0.9,-2.1,0.0
372,Evan Mobley,8478720,PF,21,CLE,79,79,34.4,6.6,12.0,0.554,0.3,1.3,0.216,6.4,10.7,0.595,0.566,2.6,3.8,0.674,2.4,6.6,9.0,2.8,0.8,1.5,1.8,2.8,16.2,17.9,0.591,0.108,0.321,8.1,22.7,15.4,12.4,1.1,4.0,11.9,20.2,3.7,4.8,8.5,0.151,0.0,1.6,1.7,2.5
373,Gary Payton II,8300000,SG,30,TOT,22,1,16.7,1.9,3.1,0.594,0.6,1.2,0.5,1.3,2.0,0.651,0.688,0.3,0.3,0.857,1.1,2.0,3.1,1.4,1.0,0.2,0.7,2.0,4.6,13.3,0.701,0.377,0.101,7.4,13.9,10.6,11.0,2.9,1.2,18.2,10.3,0.6,0.4,1.0,0.125,-1.2,1.5,0.3,0.2
382,Dewayne Dedmon,8283688,C,33,TOT,38,1,11.2,2.0,4.0,0.51,0.3,1.0,0.308,1.7,2.9,0.58,0.55,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2.0,5.2,15.5,0.577,0.258,0.325,9.1,28.3,18.5,9.5,1.1,4.4,12.7,20.6,0.3,0.7,1.0,0.115,-2.6,1.0,-1.6,0.0
391,De'Anthony Melton,8250000,SG,24,PHI,77,58,27.9,3.6,8.5,0.425,2.0,5.2,0.39,1.6,3.2,0.484,0.546,0.9,1.1,0.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6
